Tanggal	Kasus harian	Kasus Impor	Kasus Lokal	Total kasus	Kasus aktif	% kasus aktif	"Sembuh (baru)"	Sembuh	Tingkat kesembuhan (seluruh kasus)	Tingkat kesembuhan (closed cases)	"Meninggal (baru)"
14-Jul	54,517			2,670,046	443,473	16.61%	17,762	2,157,363	80.80%	96.89%	991
15-Jul	56,757			2,726,803	480,199	17.61%	19,049	2,176,412	79.82%	96.88%	982
16-Jul	54,000			2,780,803	504,915	18.16%	28,079	2,204,491	79.28%	96.86%	1,205
17-Jul	51,952			2,832,755	527,872	18.63%	27,903	2,232,394	78.81%	96.85%	1,092
18-Jul	44,721			2,877,476	542,236	18.84%	29,264	2,261,658	78.60%	96.85%	1,093
19-Jul	34,257			2,911,733	542,938	18.65%	32,217	2,293,875	78.78%	96.84%	1,338
20-Jul	38,325			2,950,058	550,192	18.65%	29,791	2,323,666	78.77%	96.82%	1,280
21-Jul	33,772			2,983,830	549,694	18.42%	32,887	2,356,553	78.98%	96.81%	1,383
22-Jul	49,509			3,033,339	561,384	18.51%	36,370	2,392,923	78.89%	96.80%	1,449
23-Jul	49,071			3,082,410	569,901	18.49%	38,988	2,431,911	78.90%	96.79%	1,566
24-Jul	45,416			3,127,826	574,135	18.36%	39,767	2,471,678	79.02%	96.79%	1,415
25-Jul	38,679			3,166,505	573,908	18.12%	37,640	2,509,318	79.25%	96.79%	1,266
26-Jul	28,228			3,194,733	560,275	17.54%	40,374	2,549,692	79.81%	96.78%	1,487
27-Jul	45,203			3,239,936	556,281	17.17%	47,128	2,596,820	80.15%	96.76%	2,069
28-Jul	47,791			3,287,727	558,392	16.98%	43,856	2,640,676	80.32%	96.75%	1,824
29-Jul	43,479			3,331,206	554,484	16.65%	45,494	2,686,170	80.64%	96.74%	1,893
30-Jul	41,168			3,372,374	549,343	16.29%	44,550	2,730,720	80.97%	96.73%	1,759
31-Jul	37,284			3,409,658	545,447	16.00%	39,372	2,770,092	81.24%	96.71%	1,808
1-Aug	30,738			3,440,396	535,135	15.55%	39,446	2,809,538	81.66%	96.71%	1,604
2-Aug	22,404			3,462,800	523,164	15.11%	32,807	2,842,345	82.08%	96.69%	1,568
3-Aug	33,900			3,496,700	524,142	14.99%	31,324	2,873,669	82.18%	96.67%	1,598
4-Aug	35,867			3,532,567	524,011	14.83%	34,251	2,907,920	82.32%	96.66%	1,747
5-Aug	35,764			3,568,331	518,310	14.53%	39,726	2,947,646	82.61%	96.64%	1,739
6-Aug	39,532			3,607,863	507,375	14.06%	48,832	2,996,478	83.05%	96.65%	1,635
7-Aug	31,753			3,639,616	497,824	13.68%	39,716	3,036,194	83.42%	96.64%	1,588
8-Aug	26,415			3,666,031	474,233	12.94%	48,508	3,084,702	84.14%	96.64%	1,498
9-Aug	20,709			3,686,740	448,508	12.17%	44,959	3,129,661	84.89%	96.65%	1,475
10-Aug	32,081			3,718,821	437,055	11.75%	41,486	3,171,147	85.27%	96.63%	2,048
